scenario_id,scenario_type,start_at,end_at,description
scn_000001,blacklist_2hop_chain,2026-01-29T21:44:47,2026-01-30T21:44:47,黑名單 seed wallet -> controller -> shared mid wallet -> neighbors，形成 1-hop / 2-hop 鏈上關聯。
scn_000002,mule_quick_out,2026-01-29T04:37:35,2026-01-30T00:23:35,低 KYC / 低收入帳戶在短時間內法幣入金、買幣、鏈上提領，模擬快進快出與短滯留時間。
scn_000003,mule_quick_out,2026-01-29T17:33:26,2026-01-30T00:57:26,低 KYC / 低收入帳戶在短時間內法幣入金、買幣、鏈上提領，模擬快進快出與短滯留時間。
scn_000004,mule_quick_out,2026-01-28T09:47:58,2026-01-29T03:33:58,低 KYC / 低收入帳戶在短時間內法幣入金、買幣、鏈上提領，模擬快進快出與短滯留時間。
scn_000005,shared_device_ring,2026-01-30T13:59:00,2026-01-31T07:59:00,多個帳戶共用裝置與銀行帳號，並出現相似的快進快出與夜間操作。
scn_000006,shared_device_ring,2026-01-30T09:16:51,2026-01-31T03:16:51,多個帳戶共用裝置與銀行帳號，並出現相似的快進快出與夜間操作。
scn_000007,mule_quick_out,2026-01-28T09:48:30,2026-01-28T19:44:30,低 KYC / 低收入帳戶在短時間內法幣入金、買幣、鏈上提領，模擬快進快出與短滯留時間。
scn_000008,fan_in_hub,2026-01-28T18:53:02,2026-01-29T14:53:02,多個 feeder 入金買幣後提至同一 external cluster，再由 hub 重新入金、賣出並法幣出金。
scn_000009,fan_in_hub,2026-01-28T13:30:55,2026-01-29T09:30:55,多個 feeder 入金買幣後提至同一 external cluster，再由 hub 重新入金、賣出並法幣出金。
scn_000010,blacklist_2hop_chain,2026-01-30T11:59:00,2026-01-31T11:59:00,黑名單 seed wallet -> controller -> shared mid wallet -> neighbors，形成 1-hop / 2-hop 鏈上關聯。
scn_000011,mule_quick_out,2026-01-30T11:09:16,2026-01-31T02:50:16,低 KYC / 低收入帳戶在短時間內法幣入金、買幣、鏈上提領，模擬快進快出與短滯留時間。
scn_000012,fan_in_hub,2026-01-29T23:15:07,2026-01-30T19:15:07,多個 feeder 入金買幣後提至同一 external cluster，再由 hub 重新入金、賣出並法幣出金。
scn_000013,mule_quick_out,2026-01-29T16:18:34,2026-01-30T09:47:34,低 KYC / 低收入帳戶在短時間內法幣入金、買幣、鏈上提領，模擬快進快出與短滯留時間。
