module,implemented,runnable,tested,enabled_by_default,trustworthy,production_safe,quarantined,known_caveat,current_role,final_recommendation
M0_dormancy_baseline,yes,yes,yes,yes,yes,yes,no,"Contemporaneous screening only; not predictive. Binary score.",Primary detection signal (PR-AUC=0.9823),DEPLOY as first-pass filter
M1_rule_engine,yes,yes,"yes (33 tests)",yes,partially,"yes (safe defaults)",no,"0% trigger rate on dormant blacklisted users. Graph-dependent rules always False under trusted_only=True.",Secondary signal for active users. Contributes 35% weight.,DEPLOY with caveat: no detection lift on current labeled population
M2_statistical_features,yes,yes,"yes (via build_features tests)",yes,partially,yes,no,"Features correctly computed. Invalidated for evaluation by dormancy confound (A1+A2+A3).",Feature layer consumed by M3 and scoring.,DEPLOY as feature layer; do NOT claim M2 eval metrics
M3_supervised_lgbm,yes,yes,"yes (via model pipeline tests)",yes,partially,yes,no,"Near-perfect metrics driven by dormancy detection via peer percentile features. Not behavioral fraud detection.",Contributes 45% weight. Effectively a dormancy detector.,DEPLOY with explicit dormancy caveat
M4_anomaly_iforest,yes,yes,"yes (via model pipeline tests)",yes,yes,yes,no,"Valid non-artifact signal (PR-AUC=0.9724). Contemporaneous only. Below dormancy baseline.",Secondary ranking for non-dormant users. 10% weight.,DEPLOY as supplementary signal
M5_graph_features,yes,yes,"yes (graph data quality tests)",partially (trusted only),partially,"yes (under trusted_only=True)","yes (unsafe features quarantined)","A7 placeholder super-node. 4/4 audit checks FAIL. Only fan_out_ratio + shared_wallet/bank trusted.",10% weight. Effective contribution near zero under trusted_only=True.,DEPLOY with trusted_only=True. Do NOT re-enable without GRAPH_RECOVERY_PLAN
M6_ops_refresh,yes,yes,"yes (refresh tests)",yes,yes,yes,no,"Watermark-based incremental refresh. No-op on unchanged data.",Operational pipeline.,DEPLOY
M6_explain_shap,yes,yes,"yes (smoke tests)",yes,yes,yes,no,"SHAP explanations dominated by dormancy-related features.",Analyst case reports.,DEPLOY
M6_drift_detection,yes,yes,"yes (drift tests)",yes,yes,yes,no,"Conservative thresholds (15% zero-rate / 50% mean shift).",Feature distribution monitoring.,DEPLOY
M6_alert_engine,yes,yes,"yes (smoke tests)",yes,yes,yes,no,"Alerts for high/critical. 4 decision types.",Alert lifecycle management.,DEPLOY
API_fastapi,yes,yes,"yes (smoke tests)",yes,yes,yes,no,"13 endpoints. CORS configurable. Health check.",API serving layer.,DEPLOY
